基金类型,夏普比率(五年) 的平均值,夏普比率(十年) 的平均值
货币型-普通货币,6.70424,2.690835
货币型-浮动净值,3.59243,0
QDII-混合平衡,0.7100275,0
债券型-长债,0.679679974055924,0.07328046699336985
REITs,0.63517,0
债券型-中短债,0.5884966701570681,0.11631286910994765
QDII-商品,0.5470185714285714,0.13605095238095238
债券型-混合一级,0.5308187617924529,0.23679474056603775
QDII-REITs,0.295725,0.091805
QDII-FOF,0.2852033333333333,-0.0018577777777777776
指数型-其他,0.2736127272727273,0.07713090909090908
混合型-灵活,0.26225811624946965,0.04450302503182011
指数型-固收,0.2497811855670103,0.01127245704467354
QDII-普通股票,0.1971812162162162,0.07404851351351352
商品,0.187015,0
债券型-混合二级,0.1570036581818182,0.06575156363636364
指数型-海外股票,0.14128221804511276,0.04403503759398496
混合型-偏债,0.12674437042459738,0.01087646412884334
QDII-混合灵活,0.1146972,-0.0073376
股票型,0.11216926711668274,0.02336731918997107
QDII-混合偏股,0.10472939393939393,0.03441010101010101
指数型-股票,0.07126121273031825,0.00897937688442211
FOF-均衡型,0.05844207373271889,0
混合型-平衡,0.05214015873015873,0.06376222222222222
混合型-偏股,0.051503050776332354,0.020489030633655057
FOF-稳健型,0.04277199404761905,0
FOF-进取型,0.0132635175879397,0
QDII-纯债,-0.08255015625,0.03029390625
QDII-混合债,-0.166895,0.0068354545454545465
混合型-绝对收益,-0.26598564102564104,0.06521871794871795
